Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
Parachutes,No More Keeping My Feet on the Ground,"B-Side to Yellow, taken from the Safety EP.",4:31,"Jun 26, 2000",Other,Yes,Spotify
Parachutes,Trouble,"Third single of Parachutes, taken from the LP. It spawned 2 Music Videos as well as 2 B-Sides, Brothers & Sisters and an acoustic rendition of Shiver.",4:33,"Oct 23, 2000",Single,Yes,Spotify
Parachutes,"Brothers & Sisters
(Parachutes)","B-Side to Trouble. Re-reccorded version of the early days single, produced by Ken Nelson.",4:49,"Oct 23, 2000",Other,Yes,Spotify
Parachutes,"Shiver
(Jo Whiley Lunchtime Social)","B-Side to Trouble. An acoustic rendition of their single Shiver, performed live on the Jo Whiley Lunchtime Social on BBC Radio 1, June 20th, 2000.",4:21,"Oct 23, 2000",Other,Yes,Spotify
Parachutes,Sparks,"Re-released from Parachutes on the Acoustic EP, also known as the Sparks EP.",3:47,"Oct 29, 2000",EP Track,Yes,Spotify (Taken from Parachutes)
Parachutes,Careful Where You Stand,"Re-released from Parachutes on the Acoustic EP, also known as the Sparks EP.",4:45,"Oct 29, 2000",EP Track,Yes,Spotify (Taken from the Shiver single)
Parachutes,"Yellow
(acoustic from Jo Whiley Lunchtime Social)","An acoustic rendition of their single Yellow, released on the Acoustic EP.  Performed live on the Jo Whiley Lunchtime Social on BBC Radio 1, June 4th, 2000.",4:17,"Oct 29, 2000",EP Track,No,FLAC FIle
Parachutes,See You Soon,"Re-released from The Blue Room EP on the Acoustic EP, also known as the Sparks EP.",2:51,"Oct 29, 2000",EP Track,Yes,Spotify (Taken from The Blue Room E.P.)
Parachutes,Don't Panic,"Fourth and final single of Parachutes, taken from the LP. It spawned 2 main B-Sides, You Only Live Twice and Bigger Stronger (Both Live In Norway). There is also multiple versions of the single from different countries.",2:17,"Mar 19, 2001",Single,Yes,Spotify
Parachutes,"You Only Live Twice
(live from Norway)","B-Side to Don't Panic. Live cover of Nancy Sinatra's song recorded at the Rockefeller Music Hall on December 1st, 2000.",4:06,"Mar 19, 2001",Other,Yes,Spotify
Parachutes,"Bigger Stronger
(live from Norway)","B-Side to Don't Panic. Live version of Bigger Stronger (Parachutes) recorded at the Rockefeller Music Hall on December 1st, 2000.",4:55,"Mar 19, 2001",Other,No,FLAC File
Parachutes,"Trouble
(live from Vega in Denmark)","Live version of Trouble released exclusively on the Denmark version of Don't Panic. Recorded at VEGA on December 3rd, 2000.",4:36,"Mar 19, 2001",Other,No,FLAC File
Parachutes,"Shiver
(live from Vega in Denmark)","Live version of Shiver released exclusively on the Denmark version of Don't Panic. Recorded at VEGA on December 3rd, 2000.",5:25,"Mar 19, 2001",Other,No,FLAC File
Parachutes,"Sparks
(live from Vega in Denmark)","Live version of Sparks released exclusively on the Denmark version of Don't Panic. Recorded at VEGA on December 3rd, 2000.",4:05,"Mar 19, 2001",Other,No,FLAC File
Parachutes,"Spies
(live at Lowlands 2000)",Live version of Spies released exclusively on the Netherlands version of Don't Panic. Recorded at Walibi Holland on August 25th 2000.,6:12,"Mar 19, 2001",Other,No,FLAC File
Parachutes,"Bigger Stronger
(live at Lowlands 2000)",Live version of Bigger Stronger released exclusively on the Netherlands version of Don't Panic. Recorded at Walibi Holland on August 25th 2000.,4:51,"Mar 19, 2001",Other,No,FLAC File
Parachutes,"Yellow
(live at Lowlands 2000)",Live version of Yellow released exclusively on the Netherlands version of Don't Panic. Recorded at Walibi Holland on August 25th 2000.,4:32,"Mar 19, 2001",Other,No,FLAC File
Parachutes,"Trouble
(Edit)",Shortened version of Trouble - released on the US Version of the single.,3:51,"Jul 30, 2001",Single,No,FLAC File
Parachutes,"Don't Panic
(OUI 102.3 FM Acoustic Session)",Acoustic version of Don't Panic released exclusively on the french version of the song. Recorded on radio station OUI 102.3 FM.,2:33,"Aug 27, 2001",Other,No,FLAC File
Parachutes,"Trouble
(Live @ Rockefeller Music Hall)","Live version of Trouble released on Trouble's Norwegian Live EP - recorded at Rockefeller Music Hall on December 1st, 2000.",4:35,"Aug 27, 2001",EP Track,No,FLAC File
Parachutes,"Shiver
(Live @ Rockefeller Music Hall)","Live version of Shiver released on Trouble's Norwegian Live EP - recorded at Rockefeller Music Hall on December 1st, 2000.",5:44,"Aug 27, 2001",EP Track,No,FLAC File
Parachutes,"Sparks
(Live @ Rockefeller Music Hall)","Live version of Sparks released on Trouble's Norwegian Live EP - recorded at Rockefeller Music Hall on December 1st, 2000.",3:54,"Aug 27, 2001",EP Track,No,FLAC File
Parachutes,"Yellow
(Live @ Rockefeller Music Hall)","Live version of Yellow released on Trouble's Norwegian Live EP - recorded at Rockefeller Music Hall on December 1st, 2000.",5:02,"Aug 27, 2001",EP Track,No,FLAC File
Parachutes,"Everything's Not Lost
(Live @ Rockefeller Music Hall)","Live version of Everything's Not Lost released on Trouble's Norwegian Live EP - recorded at Rockefeller Music Hall on December 1st, 2000.",6:03,"Aug 27, 2001",EP Track,No,FLAC File
Parachutes,"Have Yourself A Merry Little Christmas
(Jo Whiley / BBC R1 Session)",Cover of Hugh Martin's Have Yourself A Merry Little Christmas released on the Christmas 'Mince Spies EP'. Produced by Ken Nelson and recorded at BBC Radio 1 Studios in 2000.,2:22,"Nov 30, 2001",EP Track,Yes,Spotify
Parachutes,"Trouble
(2 Meter Session)","Live version of Trouble released on volume 10 of the 2 Meter Sessions live album series. Recorded for the 2 Meter Sessions TV show on June 1st, 2000.",4:24,2001,Album Track,Yes,Spotify
Parachutes,"Yellow
(Y100 Sonic Session)",Live acoustic version of Yellow released on the live compilation album Y100 Sonic Sessions 5.,4:34,2001,Album Track,No,FLAC File
"33 Album Track(s)
9 Single(s)
2 Feature(s)
0 EP Track(s)
19 B-Side(s)
1 Promo Track(s)
1 Other",A Rush of Blood to the Head,"August 5th, 2002 (In My Place release)
May 11th, 2005 (Speed of Sound release)",,,Other,,
A Rush of Blood to the Head,Politik,"Track 1 of A Rush Of Blood To The Head. The song was written on 9/11 after the events that day, and recorded 2 days later. Chris stated that the band wanted to write a song where they could hit their instruments as hard as they could. Produced by Ken Nelson.",5:18,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,In My Place,Track 2 of A Rush Of Blood To The Head and the album's lead single. The song was originally recorded during the Parachutes era and throughout the next 2 years would spawn over 100 different versions. Produced by Ken Nelson.,3:48,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,God Put a Smile upon Your Face,"Track 3 of A Rush Of Blood To The Head and the album's fourth and final single. The song was originally called Your Guess Is As Good As Mine, and was supposedly hard to record, something felt 'missing'. It was produced by Ken Nelson.",4:58,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,The Scientist,"Track 4 of A Rush Of Blood To The Head and its second single. The song was written after Chris listened to George Harrison's All Things Must Pass. He had found an old out of tune piano in Liverpool and started to play the song, accidentally writing The Scientist. Both the original piano and vocal takes were recorded here. Produced by Ken Nelson.",5:07,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,Clocks,"Track 5 of A Rush Of Blood To The Head and its third single. It was the 11th song to be written for AROBTTH and is inspired by Muse. Will thought the song was terrible and that it lacked a chorus, so a demo was recorded to be worked on for album 3. However, after Phil Harvery had heard it he convinced the band to re-record the song and put it on the album. Produced by Ken Nelson.",5:07,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,Daylight,Track 6 of A Rush Of Blood To The Head. Written in Liverpool at the same time as The Scientist and supposedly recorded 'very fact'. The song features Jonny giving backing vocals throughout most of it. Produced by Ken Nelson.,5:27,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,Green Eyes,Track 7 of A Rush Of Blood To The Head. Written for a friend of Chris' who he had met in Mexico. It has been described as a 'silly song about a girl'. And during live performances Chris frequently replaces 'Honey' with 'Jonny'. Produced by Ken Nelson.,3:43,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,Warning Sign,"Track 8 of A Rush Of Blood To The Head. Written during a painful time during Chris' life, making him not want it on the album. It supposely took Jonny over a year to record his part on the song. Produced by Ken Nelson.",5:31,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,A Whisper,"Track 9 of A Rush Of Blood To The Head. Written after the band had decided they wanted a song in 3/4 timing. It was considered the likeliest B-Side by the band themselves. The song has only ever been played live twice, once in 2014. Produced by Ken Nelson.",3:58,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,A Rush of Blood to the Head,"Track 10 and the title track of A Rush Of Blood To The Head. Written as a tribute to Bob Dylan, Johnny Cash, & Hank Williams. It also took the longest time to write out of the rest of the tracks, despite being called 'the simplest song on the album'. Produced by Ken Nelson.",5:51,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,Amsterdam,"The 11th and final track of A Rush Of Blood To The Head. The name 'Amsterdam' comes from the city it was originally wrote in, despite the explosive ending being written in Iceland. It was supposedly one of the easiest tracks to write and record. Produced by Ken Nelson.",5:21,"Aug 26, 2002",Album Track,Yes,Spotify
A Rush of Blood to the Head,In My Place,"Lead single of A Rush Of Blood To The Head, taken from the LP. It spawned 2 B-Sides, One I Love and I Bloom Blaum.",3:48,"Aug 5, 2002",Single,Yes,Spotify
A Rush of Blood to the Head,One I Love,B-Side to In My Place. Produced by Ken Nelson.,4:35,"Aug 5, 2002",Other,Yes,Spotify
A Rush of Blood to the Head,I Bloom Blaum,"B-Side to In My Place. The song name came from Chris reading what he thought said 'I Bloom Blaum' which he was told meant 'The Blue People' in Icelandic. What he wrote actually didn't say that, but he ended up naming the song that due to Simon Pegg telling him to. Produced by Ken Nelson.",2:11,"Aug 5, 2002",Other,Yes,Spotify
A Rush of Blood to the Head,"The Scientist
(Radio Edit)",Shortened version of The Scientist - released as the audio for the song's music video.,4:26,"Oct 14, 2002",Other,No,MP3 File
A Rush of Blood to the Head,The Scientist,"Second single of A Rush Of Blood To The Head, taken from the LP. It spawned 2 B-Sides, 1.36 and I Ran Away.",5:07,"Nov 11, 2002",Single,Yes,Spotify
A Rush of Blood to the Head,"1.36
(feat. Simon Pegg)","B-Side to The Scientist. The song is named after its runtime originally being 1:36. Features Tim Wheeler on guitar and Simon Pegg on backing vocals, making it Coldplay's first feature song.",2:05,"Nov 11, 2002",Other,Yes,Spotify
A Rush of Blood to the Head,I Ran Away,"B-Side to The Scientist. The song was almost included on the album, but it is unknown which song(s) replaced it. The song has never been performed live. Recorded at the same time as Murder and produced by Ken Nelson.",4:26,"Nov 11, 2002",Other,Yes,Spotify
A Rush of Blood to the Head,"God Put a Smile upon Your Face
(Radio Edit)",Shortened edit of God Put a Smile upon Your Face released on a compilation CD for radio stations. Available through UMPG's website; account required for full download.,4:14,2002,Other,No,Snippet (M4A File)
A Rush of Blood to the Head,"In My Place
(Y100 Sonic Session)",Live acoustic version of In My Place released on the live compilation album Y100 Sonic Sessions 6.,4:26,2002,Album Track,No,FLAC File
A Rush of Blood to the Head,Clocks,"Third single of A Rush Of Blood To The Head, taken from the LP. It spawned 2 B-Sides, Crests of Waves & Animals.",5:07,"Mar 24, 2003",Single,Yes,Spotify
A Rush of Blood to the Head,Crests of Waves,B-Side to Clocks. Described as the closest Coldplay can get to Oasis. It is Phil Harvey's favourite AROBTTH B-Side. Produced by Ken Nelson.,3:39,"Mar 24, 2003",Other,Yes,Spotify
A Rush of Blood to the Head,Animals,"B-Side to Clocks. Played throughout the Parachutes tour. The song was never properly recorded, and was released unfinished. Produced by Ken Nelson.",5:33,"Mar 24, 2003",Other,Yes,Spotify
A Rush of Blood to the Head,"Clocks
(Radio Edit)",Shortened version of Clocks - released as a single. Also used as the audio for the song's music video.,4:12,"Mar 24, 2003",Single,Yes,Spotify
A Rush of Blood to the Head,"Politik
(Live [in Rotterdam])","B-Side to Clocks (Dutch CD1). Live version of Politik recorded at Ahoy Rotterdam on November 5, 2002.",6:53,"Mar 24, 2003",Other,No,Link Needed
A Rush of Blood to the Head,"Shiver
(Live [in Rotterdam])","B-Side to Clocks (Dutch CD1). Live version of Shiver recorded at Ahoy Rotterdam on November 5, 2002.",5:26,"Mar 24, 2003",Other,No,Link Needed
A Rush of Blood to the Head,"Daylight
(Live [in Rotterdam])","B-Side to Clocks (Dutch CD1). Live version of Daylight recorded at Ahoy Rotterdam on November 5, 2002.",5:48,"Mar 24, 2003",Other,No,Link Needed
A Rush of Blood to the Head,"Trouble
(Live [in Rotterdam])","B-Side to Clocks (Dutch CD2). Live version of Trouble recorded at Ahoy Rotterdam on November 5, 2002.",4:43,"Apr 7, 2003",Other,No,Link Needed
A Rush of Blood to the Head,"The Scientist
(Live [in Rotterdam])","B-Side to Clocks (Dutch CD2). Live version of The Scientist recorded at Ahoy Rotterdam on November 5, 2002.",5:18,"Apr 7, 2003",Other,No,Link Needed
A Rush of Blood to the Head,"Green Eyes / Mooie Ellebogen
(Live [in Rotterdam])","B-Side to Clocks (Dutch CD2). Live version of Green Eyes followed by Mooie Ellebogen (""Beautiful Elbows"" in Dutch), a short song with Dutch lyrics. Recorded at Ahoy Rotterdam on November 5, 2002.",5:16,"Apr 7, 2003",Other,No,Link Needed
A Rush of Blood to the Head,"Clocks
(Live [in Rotterdam])","Live version of Clocks and the first track of Clocks' Dutch CD3. Recorded at Ahoy Rotterdam on November 5, 2002.",5:31,"Apr 21, 2003",Single,No,Link Needed
A Rush of Blood to the Head,"In My Place
(Live [in Rotterdam])","B-Side to Clocks (Dutch CD3). Live version of In My Place recorded at Ahoy Rotterdam on November 5, 2002.",3:51,"Apr 21, 2003",Other,No,Link Needed
A Rush of Blood to the Head,"Everything's Not Lost
(Live [in Rotterdam])","B-Side to Clocks (Dutch CD3). Live version of Everything's Not Lost recorded at Ahoy Rotterdam on November 5, 2002.",8:47,"Apr 21, 2003",Other,No,Link Needed
A Rush of Blood to the Head,"Yellow
(Live [in Rotterdam])","B-Side to Clocks (Dutch CD3). Live version of Yellow recorded at Ahoy Rotterdam on November 5, 2002.",4:44,"Apr 21, 2003",Other,No,Link Needed
A Rush of Blood to the Head,Ian McCulloch - Sliding,Released on McCulloch's 'Slideling' album. Features Chris and Jonny.,3:37,"Apr 28, 2003",Feature,Yes,Spotify
A Rush of Blood to the Head,Ian McCulloch - Arthur,Released on McCulloch's 'Slideling' album. Features Chris and Jonny.,3:39,"Apr 28, 2003",Feature,Yes,Spotify
A Rush of Blood to the Head,God Put a Smile upon Your Face,"The fourth and final single of A Rush Of Blood To The Head, taken from the LP. It's main version spawned one B-Side - Murder. The Australian version included live versions of both Politik and a cover of Echo & the Bunnymen's Lips Like Sugar.",4:57,"Jul 1, 2003",Single,Yes,Spotify
A Rush of Blood to the Head,Murder,B-Side to God Put a Smile upon Your Face. The song was played throughout the Parachutes Tour. It was recorded at the same time as I Ran Away and produced by Ken Nelson.,5:34,"Jul 1, 2003",Single,Yes,Spotify
A Rush of Blood to the Head,"Politik
(Live [in London])","B-Side to God Put a Smile upon Your Face (Australian Version). Live version of Politik recorded in London on October 21, 2002.",6:44,"Jul 1, 2003",Other,No,FLAC File
A Rush of Blood to the Head,"Lips Like Sugar
(Live)","B-Side to God Put a Smile upon Your Face (Australian Version). Live cover of Echo & the Bunnymen's Lips Like Sugar recorded in Paris on August 27, 2002.",4:52,"Jul 1, 2003",Other,No,FLAC File
A Rush of Blood to the Head,"In My Place
(Live [in Manchester])","B-Side to Clocks (Japanese Version). Live version of In My Place recorded in Manchester on October 11, 2002.",4:03,"Jul 24, 2003",Other,No,FLAC File
A Rush of Blood to the Head,"Yellow
(Live [in Los Angeles])","B-Side to Clocks (Japanese Version). Live piano version of Yellow recorded in Los Angeles on December 10, 2001.",5:12,"Jul 24, 2003",Other,No,FLAC File
A Rush of Blood to the Head,"Moses
(Edit)",Edited version of Moses released as a single to promote Live 2003. It is the live album's first and only single.,4:50,"Oct 6, 2003",Single,No,MP3 File
A Rush of Blood to the Head,"The Scientist
(AOL Session)",Live version of The Scientist released on the live compilation album Sessions@AOL.,5:01,"Oct 14, 2003",Album Track,No,FLAC File
A Rush of Blood to the Head,"Politik
(Live in Sydney)","Track 1 of Live 2003. Recorded in Sydney on July 22, 2003. Features an extended string intro.",6:36,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"God Put a Smile upon Your Face
(Live in Sydney)","Track 2 of Live 2003. Recorded in Sydney on July 22, 2003.",4:56,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"A Rush of Blood to the Head
(Live in Sydney)","Track 3 of Live 2003. Recorded in Sydney on July 22, 2003. Features an extended intro.",6:50,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"Daylight
(Live in Sydney)","Track 4 of Live 2003. Recorded in Sydney on July 22, 2003. Only available on the Live 2003 promo CD.",5:43,"Nov 10, 2003",Album Track,No,FLAC File
A Rush of Blood to the Head,"Trouble
(Live in Sydney)","Track 5 of Live 2003. Recorded in Sydney on July 22, 2003. Only available on the Live 2003 promo CD. Chris messes up the song during the first verse and restarts.",5:46,"Nov 10, 2003",Album Track,No,FLAC File
A Rush of Blood to the Head,"One I Love
(Live in Sydney)","Track 6 of Live 2003. Recorded in Sydney on July 22, 2003.",5:08,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"Don't Panic
(Live in Sydney)","Track 7 of Live 2003. Recorded in Sydney on July 22, 2003. Only available on the Live 2003 promo CD.",2:42,"Nov 10, 2003",Album Track,No,FLAC File
A Rush of Blood to the Head,"See You Soon
(Live in Sydney)","Track 8 of Live 2003. Recorded in Sydney on July 22, 2003.",3:29,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"Shiver
(Live in Sydney)","Track 9 of Live 2003. Recorded in Sydney on July 22, 2003.",5:25,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"Everything's Not Lost
(Live in Sydney)","Track 10 of Live 2003. Recorded in Sydney on July 22, 2003. Features an extended outro.",8:47,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"Moses
(Live in Sydney)","Track 11 of Live 2003. Recorded in Sydney on July 22, 2003. The studio version of this song is unreleased.",5:29,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"Yellow
(Live in Sydney)","Track 12 of Live 2003. Recorded in Sydney on July 22, 2003. Features an extended ambient intro.",5:36,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"The Scientist
(Live in Sydney)","Track 13 of Live 2003. Recorded in Sydney on July 22, 2003. Only available on the Live 2003 promo CD.",5:07,"Nov 10, 2003",Album Track,No,FLAC File
A Rush of Blood to the Head,"What a Wonderful World
(Live in Sydney)","Track 14 of Live 2003. Live cover of Louis Armstrong's song recorded in Sydney on July 22, 2003. Only available on the Live 2003 promo CD.",1:30,"Nov 10, 2003",Album Track,No,FLAC File
A Rush of Blood to the Head,"Clocks
(Live in Sydney)","Track 15 of Live 2003. Recorded in Sydney on July 22, 2003.",5:32,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"In My Place
(Live in Sydney)","Track 16 of Live 2003. Recorded in Sydney on July 22, 2003.",4:13,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"Amsterdam
(Live in Sydney)","Track 17 of Live 2003. Recorded in Sydney on July 22, 2003.",5:20,"Nov 10, 2003",Album Track,Yes,Spotify
A Rush of Blood to the Head,"Life Is For Living
(Live in Sydney)","Track 18 of Live 2003. Recorded in Sydney on July 22, 2003. Only available on the Live 2003 promo CD.",3:32,"Nov 10, 2003",Album Track,No,FLAC File
A Rush of Blood to the Head,2000 Miles,Cover of The Pretender's Christmas Song 2000 Miles released as a Charity Single in 2003. All proceeds from the song were donated to Stop Handgun Violence and Future Forests.,3:15,"Dec 2, 2003",Single,Yes,Spotify
A Rush of Blood to the Head,"The Scientist
(Y100 Sonic Session)",Live acoustic version of The Scientist released on the live compilation album Y100 Sonic Sessions 7.,4:26,2003,Album Track,No,FLAC File
A Rush of Blood to the Head,"Yellow
(99X Session)",Live acoustic version of Yellow released on the live compilation album 99X Live X 8. Recorded at 99X Studios in September 2002.,3:44,2003,Album Track,No,Link Needed
