Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
BBTM,The Hills [Stems],,,,,,Partial,,
BBTM,Ruff Ref 3 (Lonely Thoughts) [Instrumental],"Was uploaded by Daxz on his SoundCloud on Jan. 26, 2017, but he deleted it shortly after. Features different structure from the version with vocals.",,,,,Full,,Link
BBTM,Ruff Ref 4 (I Wanna Feel You) [Instrumental],"Was uploaded by Daxz on his SoundCloud, but he deleted it shortly after. Features different structure from the version with vocals.",,,,,Full,,Link
BBTM,Ruff Ref 5 (How Will I Know?) [Instrumental],"Was uploaded by Daxz on his SoundCloud on Feb. 4, 2017, but he deleted it shortly after. Features different structure from the version with vocals.",,,,,Full,,Link
BBTM,Travis Scott - Pray 4 Love (feat. The Weeknd) [Instrumental],"Official instrumental for ""Pray 4 Love"". Leaked on Aug. 19, 2020.",,,,,Full,,Link
BBTM,Hangout Fest,"Files for ""Hangout Fest"". Leaked on Feb. 3, 2023",,,,,Full,,Link
BBTM,Meadowfest,"Files for ""Meadowfest"". Leaked on Feb. 3, 2023.",,,,,Full,,Link
BBTM,The Madness Fall Tour,"Files for the ""The Madness Fall Tour"". Leaked on Feb. 3, 2023. Will link an edit without the ""1 2 3 5""",,,,,Full,,Link
,Starboy,"(08/28/2015) (Beauty Behind The Madness is released)
(11/25/2016) (Starboy is released)",,,,,"Following up the mega success of 'Beauty Behind The Madness', Abel's transition to becoming a popstar was becoming more clear by the amount of mainstream popularity he was getting. As Abel was dominating charts throught 2015 going into 2016, he began working with Daft Punk and a few other collaborators like Future, Lana Del Rey & Kendrick Lamar to create a pop record that has even greater mainstream appeal than BBTM, which resulted in the release of 'Starboy' on November 25th, 2016.",,
Starboy,Starboy [Instrumentals],"Official instrumentals for ""Starboy"". Leaked in late 2016.",,,,,Full,,Link
Starboy,I Feel It Coming [Stems],"Stems for the song. Acapella has been previewed in LEAKTH.IS Discord on multiple occasions. Does not appear to be circulating, however possibly privately owned. Snippet withheld from tracker for privacy reasons.",,,,,Confirmed,Not Available,
Starboy,Legend Of The Fall Tour,"Files for the ""Legend Of The Fall Tour"". Leaked on Feb. 3, 2023. Will link an edit without the ""1 2 3 5""",,,,,Full,,Link
,"Untitled
(Upbeat Album, 2017 Album)","(11/23/2016) (Starboy is released)
(10/29/2017) (Abel and Selena break up)",,,,,"While Abel began to tour his 2016 album 'Starboy' across North America and Europe, the work on new music continued while on the road. Everything was going well until Abel's relationship with Selena Gomez was starting to dwindle as the tour progressed. Eventually, the two would break up, and Abel had scrapped an entire album of ""upbeat"" songs that he was working on at the time to then make a more darker and melancholic project.",,
Post-Starboy,French Montana - A Lie (feat. The Weeknd & Max B) [Instrumental],"Official instrumental for ""A Lie"". Leaked on July 11, 2020.",,,,,Full,,
Post-Starboy,Let Me Go [Studio Session],Official studio session for 'Let Me Go' which contains multiple versions of the song and stems.,,,,,Full,,https://sendgb.com/rliND36anIU
,After Hours [V1],"(03/30/2018) (My Dear Melancholy, is released)
(March 2019) (Illangelo steps in to work on 'After Hours')",,,,,"As 'My Dear Melancholy' had left a small yet impactful imprint on the mind of fans with it's relatively short EP length, many were waiting to see what Abel had planned next in releasing another full-length LP record. After a successful festival tour around the world and a solo tour across the continent of Asia, Abel returned to work on music for his next project. During an HXOUSE event in 2018, Abel had officially announced that ""Chapter VI"" was on the way.",,
After Hours [V1],SZA - Power Is Power (feat. The Weeknd & Travis Scott) (Demo) [Stems],"Official stems for ""Power Is Power"" demo. Leaked on Aug. 22nd, 2021.",,,,,Full,,Link
,After Hours [V2],"(March 2019) (Illangelo steps in to work on 'After Hours')
(04/03/2020) (After Hours (Deluxe) is updated on streaming services)",,,,,"After Abel announced that he was working on ""Chapter VI"" in late 2018, the following year would see changes in the project's sound with long-time collaborator Illangelo returning to executive produce. At the same time, Abel and then girlfriend Bella Hadid would split up, and he would go on hiatus for a period of time. Around late 2019, Abel returned to social media, releasing two lead singles and sporting a radically different look with every music video and TV appearance in a red suit and bloody nose. 'After Hours' would release in March 2020 during the beginning of the COVID-19 lockdowns and would propel Abel to new heights on the charts for the remainder of the current decade.",,
After Hours [V2],After Hours [Instrumental],"Official instrumental for ""After Hours"".",,,,,Full,High Quality,
After Hours [V2],Blinding Lights [Instrumental],"Official instrumental for ""Blinding Lights"".",,,,,Full,High Quality,
After Hours [V2],Hardest To Love [Instrumental],,,,,,Full,High Quality,
After Hours [V2],Over Now [Instrumental],"Official instrumental for ""Over Now"". Leaked on June 30, 2021.",,,,,Full,CD Quality,
After Hours [V2],Save Your Tears [Instrumental],"Official instrumental for ""Save Your Tears"". Leaked on Feb. 24, 2021.",,,,,Full,CD Quality,
After Hours [V2],Scared To Live [Instrumental],,,,,,Full,High Quality,
After Hours [V2],Tongue [Instrumental],"Official instrumental for unreleased song ""Tongue"". Leaked on May 23, 2022.",,,,,Full,CD Quality,
After Hours [V2],In Your Eyes (Remix) (feat. Doja Cat),"Offical studio session for 'In Your Eyes (Remix)'. Snippets leaked on LEAKED.CX by Scrapbeak on Jan. 16, 2022. Has over 300+ Doja Cat takes and stems.",,,,,Tagged,High Quality,
,"Dawn FM
(103.5 Dawn FM)","(04/03/2020) (After Hours (Deluxe) is updated on streaming services)
(01/07/2022) (Dawn FM is released)",,,,,"Nearly a year after the release of 'After Hours', Abel headlined Super Bowl LV as the halftime show performer, closing the curtain on the era. Abel later went right to work music inspired by crucial events in 2020 like the pandemic and the Black Lives Matter protests. This project would later be scrapped for something more lighthearted and directly follow up 'After Hours'. At the 2021 BBMA's Abel teased the new project saying that ""the After Hours are over and the dawn is coming"". Later in the year Abel would release the lead single ""Take My Breath"", and during the first week of 2022, began rolling out the album, revealing that Jim Carrey would play a crucial role in narrating the record as a purgatorial radio host.",,
Dawn FM,Take My Breath [Instrumental],"Official instrumental for ""Take My Breath"".",,,,,Full,High Quality,
,"The Idol
(The Idol: Vol. 1)","(06/29/2021) (The Idol is announced by HBO)
(07/02/2023) (The Idol concludes on HBO)",,,,,"In 2021, it was announced that Abel would star in a new HBO series written by him, Reza Fahim, and Sam Levinson called 'The Idol'. With production starting in November 2021, the music for the show was already being prepared, but not too long after, production issues had began to arise, pausing filming until May 2022. Before filming had paused Abel had began working closely with Mike Dean on his last minute Coachella 2022 headlining show with Swedish House Mafia, ultimately reworking the project's music. 'The Idol' premeired at the Cannes Film Festival with negative reception by critics and officially began airing on HBO on June 4th, 2023. Soon after, the series was cancelled after one season.",,
The Idol,Take Me Back [Acapella],"Official acapella for ""Take Me Back""",,,,,Full,,Link
The Idol,Take Me Back [Instrumental],"Official instrumental for ""Take Me Back""",,,,,Full,,Link
Dawn FM,Toxic Love [Stems],"Official stems for the instrumental overdubs on V2 of ""Toxic Love"" produced by Neenyo. New overdubs in this pack are done by Har2Nok rather than Neenyo.",,,,,Partial,CD Quality,
